                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.5716,                0.28408,                0.78655,                0.94062,                0.87289,                0.94101,                0.76144,                0.80448,                0.86623,                 0.9481,             4.1183e-05,             4.1183e-05,             4.1183e-05
                     81,                0.56133,                0.28063,                0.78678,                 0.9415,                0.87852,                0.94081,                 0.7685,                0.79852,                0.85025,                0.94828,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     82,                0.56317,                0.27927,                0.78777,                0.94489,                0.88714,                0.94515,                0.76973,                0.79049,                0.83733,                0.94354,             3.7441e-05,             3.7441e-05,             3.7441e-05
                     83,                0.57054,                0.28411,                0.77975,                0.94464,                0.88293,                0.94526,                0.76754,                0.79352,                0.83566,                0.94202,              3.557e-05,              3.557e-05,              3.557e-05
                     84,                0.55073,                0.27729,                0.78465,                0.94123,                0.87964,                0.94199,                0.76411,                0.80061,                0.86158,                0.94226,             3.3699e-05,             3.3699e-05,             3.3699e-05
                     85,                0.54255,                0.27252,                 0.7853,                0.94409,                0.87381,                0.94228,                0.76183,                0.80205,                0.85551,                0.94581,             3.1828e-05,             3.1828e-05,             3.1828e-05
                     86,                0.55515,                0.27787,                0.78564,                0.94199,                0.88301,                0.94363,                0.76598,                0.79435,                0.85502,                0.94058,             2.9957e-05,             2.9957e-05,             2.9957e-05
                     87,                0.54848,                0.27522,                0.78677,                0.94261,                0.88688,                0.94318,                0.76603,                0.79653,                0.83963,                0.94071,             2.8085e-05,             2.8085e-05,             2.8085e-05
                     88,                0.55195,                0.27596,                0.78566,                0.93926,                0.88709,                0.94451,                0.76705,                0.80156,                 0.8327,                0.94223,             2.6214e-05,             2.6214e-05,             2.6214e-05
                     89,                0.55281,                0.27944,                0.78439,                0.93898,                0.88976,                0.94305,                0.76529,                0.80228,                0.81539,                0.94407,             2.4343e-05,             2.4343e-05,             2.4343e-05
                     90,                0.55167,                0.28496,                0.78986,                0.93652,                0.87961,                0.93899,                0.76515,                0.80596,                0.85947,                 0.9508,             2.2472e-05,             2.2472e-05,             2.2472e-05
                     91,                0.54436,                  0.273,                0.79115,                0.94081,                0.87601,                0.93774,                0.76232,                 0.8042,                0.84554,                0.95113,             2.0601e-05,             2.0601e-05,             2.0601e-05
                     92,                0.53798,                 0.2699,                0.78622,                0.94196,                0.87514,                  0.939,                 0.7662,                 0.8006,                0.83896,                0.94685,              1.873e-05,              1.873e-05,              1.873e-05
                     93,                0.54089,                0.27114,                0.78773,                0.94498,                0.86936,                0.94029,                0.76126,                0.81199,                0.82879,                0.95316,             1.6859e-05,             1.6859e-05,             1.6859e-05
                     94,                0.52901,                0.27099,                0.78498,                0.93941,                0.87064,                0.93745,                0.75527,                0.81634,                0.83845,                0.95599,             1.4988e-05,             1.4988e-05,             1.4988e-05
                     95,                 0.5339,                0.27049,                0.78247,                0.93606,                0.87275,                0.93644,                0.75645,                0.81506,                0.83754,                0.95619,             1.3117e-05,             1.3117e-05,             1.3117e-05
                     96,                 0.5184,                0.26569,                0.79061,                0.93932,                0.87066,                0.93781,                0.76016,                0.81542,                0.83289,                0.95475,             1.1246e-05,             1.1246e-05,             1.1246e-05
                     97,                0.52528,                0.26341,                  0.783,                0.93938,                0.87154,                0.93891,                0.75938,                0.81358,                0.83919,                0.95529,             9.3744e-06,             9.3744e-06,             9.3744e-06
                     98,                0.52162,                0.26564,                0.78475,                0.93825,                 0.8717,                0.94018,                0.75743,                0.81335,                0.82512,                0.95801,             7.5033e-06,             7.5033e-06,             7.5033e-06
                     99,                0.51565,                 0.2595,                0.78136,                0.93616,                0.87424,                0.94021,                0.75974,                0.81442,                0.82423,                0.95738,             5.6322e-06,             5.6322e-06,             5.6322e-06
